18-7-1 23:30:23.4|Info|MigrationLogger|*** 66: add_tags migrating ***
18-7-1 23:30:23.4|Info|add_tags|Starting migration to 66
18-7-1 23:30:23.4|Info|MigrationLogger|*** 67: add_added_to_series migrating ***
18-7-1 23:30:23.4|Info|add_added_to_series|Starting migration to 67
18-7-1 23:30:23.4|Info|MigrationLogger|*** 68: add_release_restrictions migrating ***
18-7-1 23:30:23.4|Info|add_release_restrictions|Starting migration to 68
18-7-1 23:30:23.4|Info|MigrationLogger|*** 69: quality_proper migrating ***
18-7-1 23:30:23.4|Info|quality_proper|Starting migration to 69
18-7-1 23:30:23.4|Info|MigrationLogger|*** 70: delay_profile migrating ***
18-7-1 23:30:23.4|Info|delay_profile|Starting migration to 70
18-7-1 23:30:23.4|Info|MigrationLogger|*** 71: unknown_quality_in_profile migrating ***
18-7-1 23:30:23.4|Info|unknown_quality_in_profile|Starting migration to 71
18-7-1 23:30:23.4|Info|MigrationLogger|*** 72: history_downloadId migrating ***
18-7-1 23:30:23.4|Info|history_downloadId|Starting migration to 72
18-7-1 23:30:23.4|Info|MigrationLogger|*** 73: clear_ratings migrating ***
18-7-1 23:30:23.4|Info|clear_ratings|Starting migration to 73
18-7-1 23:30:23.5|Info|MigrationLogger|*** 74: disable_eztv migrating ***
18-7-1 23:30:23.5|Info|disable_eztv|Starting migration to 74
18-7-1 23:30:23.5|Info|MigrationLogger|*** 75: force_lib_update migrating ***
18-7-1 23:30:23.5|Info|force_lib_update|Starting migration to 75
18-7-1 23:30:23.5|Info|MigrationLogger|*** 76: add_users_table migrating ***
18-7-1 23:30:23.5|Info|add_users_table|Starting migration to 76
18-7-1 23:30:23.5|Info|MigrationLogger|*** 77: add_add_options_to_series migrating ***
18-7-1 23:30:23.5|Info|add_add_options_to_series|Starting migration to 77
18-7-1 23:30:23.5|Info|MigrationLogger|*** 78: add_commands_table migrating ***
18-7-1 23:30:23.5|Info|add_commands_table|Starting migration to 78
18-7-1 23:30:23.5|Info|MigrationLogger|*** 79: dedupe_tags migrating ***
18-7-1 23:30:23.5|Info|dedupe_tags|Starting migration to 79
18-7-1 23:30:23.6|Info|MigrationLogger|*** 81: move_dot_prefix_to_transmission_category migrating ***
18-7-1 23:30:23.6|Info|move_dot_prefix_to_transmission_category|Starting migration to 81
18-7-1 23:30:23.6|Info|MigrationLogger|*** 82: add_fanzub_settings migrating ***
18-7-1 23:30:23.6|Info|add_fanzub_settings|Starting migration to 82
